Дистанция (м),Средняя сила (Н),CI нижний,CI верхний
0.055,0.121644,0.11077452,0.13251348000000002
0.05,0.16873200000000002,0.1585645324669021,0.17889946753309793
0.045,0.243288,0.2331205324669021,0.2534554675330979
0.04,0.349236,0.32125896352378613,0.37721303647621385
0.035,0.47284200000000004,0.46267453246690216,0.4830094675330979
0.03,0.71613,0.6091470361169826,0.8231129638830175
0.025,1.135998,1.0926902486373098,1.1793057513626903
0.02,1.946304,1.883981961754373,2.008626038245627
0.015,3.4511580000000004,3.3557013132218882,3.5466146867781125
0.01,6.005682000000001,5.786028391902559,6.225335608097443
