Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),EMF (V)
0.0,0.05,0.0,-15.623953488372093,0
0.001,0.05,-0.01562365073781474,-15.623953488372093,-7.419721832904309e-08
0.002,0.049984376349262186,-0.031245485104596522,-15.622136784797927,-9.317434622167196e-08
0.003,0.04995313086415759,-0.04686368619430761,-15.618503588855535,-1.1250423370324893e-07
0.004,0.04990626717796328,-0.06247643775879398,-15.613054323018988,-1.3226203357606005e-07
0.005,0.04984379074020449,-0.07808192450215659,-15.605789620954011,-1.5252626096883196e-07
0.006,0.04976570881570233,-0.0936783320807515,-15.59671032740725,-1.7337944984342826e-07
0.007,0.04967203048362158,-0.10926384746204512,-15.585817498095533,-1.949088629446364e-07
0.008,0.049562766636159536,-0.12483695760694745,-15.573112399553436,-2.172072663647612e-07
0.009000000000000001,0.04943792967855259,-0.14039605180836362,-15.558596474250303,-2.403741652251591e-07
0.01,0.049297533626744224,-0.1559392372215364,-15.542271351947003,-2.645162600082817e-07
0.011,0.04914159438952269,-0.17146462924619266,-15.524138882502639,-2.8974823903097115e-07
0.012,0.048970129760276496,-0.1869703515265433,-15.504201134915872,-3.161943031223899e-07
0.013000000000000001,0.04878315940874995,-0.20245453595128288,-15.482460396366273,-3.439894731209754e-07
0.014,0.04858070487279867,-0.21791532265359026,-15.45891917125566,-3.7328106350506103e-07
0.015,0.04836278955014508,-0.23335086001112815,-15.43358018024943,-4.0423034934561243e-07
0.016,0.048129438690133954,-0.2487593046460433,-15.4064463593179,-4.3701445876069397e-07
0.017,0.04788067938548791,-0.2641388214249663,-15.377520858777665,-4.718285286642587e-07
0.018000000000000002,0.04761654056406294,-0.2794875834590118,-15.3468070423329,-5.088881681901857e-07
0.019,0.04733705298060393,-0.29480377210377845,-15.314308486116737,-5.484322824963268e-07
0.02,0.04704224920850015,-0.31008557695934885,-15.280028977732576,-5.907263193248896e-07
0.021,0.0467321636315408,-0.32533119587028964,-15.243972515295441,-6.360660127014216e-07
0.022,0.04640683243567051,-0.34053883492565123,-15.206143306473315,-6.847817125788554e-07
0.023,0.04606629360074486,-0.3557067084589682,-15.166545767528472,-7.372434068374082e-07
0.024,0.04571058689228589,-0.3708330390482592,-15.125184522358824,-7.93866563596066e-07
0.025,0.04533975385323763,-0.3859160575160265,-15.08206440153926,-8.551189482649092e-07
0.026000000000000002,0.0449538377957216,-0.4009540029292566,-15.037190441362979,-9.215286022586276e-07
0.027,0.04455288379279235,-0.41594512259941985,-14.990567882882832,-9.936932104765465e-07
0.028,0.04413693867019293,-0.43088767208247086,-14.942202170952667,-1.072291134617107e-06
0.029,0.04370605099811046,-0.445779915178848,-14.89209895326866,-1.1580944514832768e-06
0.03,0.04326027108293161,-0.46062012393347346,-14.840264079410654,-1.2519844131437958e-06
0.031,0.04279965095899813,-0.4754065786357537,-14.786703599883504,-1.354969843473437e-06
0.032,0.04232424438036238,-0.49013756781957896,-14.731423765158414,-1.468209108826627e-06
0.033,0.0418341068125428,-0.5048113882633235,-14.674431024714279,-1.5930364569213255e-06
0.034,0.041329295424279475,-0.5194263449898456,-14.615732026079009,-1.7309937169261953e-06
0.035,0.04080986907928963,-0.5339807512664876,-14.55533361387089,-1.883868609074282e-06
0.036000000000000004,0.04027588832802314,-0.5484729286050756,-14.493242828839902,-2.053741240346874e-06
0.037,0.03972741539941806,-0.5629012067619198,-14.429466906909079,-2.2430407880662546e-06
0.038,0.039164514192656145,-0.5772639237378141,-14.364013278215833,-2.4546149273678798e-06
0.039,0.03858725026891833,-0.5915594257780372,-14.296889566153295,-2.6918152844112868e-06
0.04,0.03799569084314029,-0.6057860673723509,-14.228103586411661,-2.9586031545406913e-06
0.041,0.037389904775767945,-0.6199422112550014,-14.157663346019529,-3.259680996458266e-06
0.042,0.03676996256451294,-0.6340262284047185,-14.085577042385227,-3.6006569129570914e-06
0.043000000000000003,0.03613593633610822,-0.6480364980447163,-14.011853062338165,-3.988251619147669e-06
0.044,0.035487899838063504,-0.661971407642693,-13.936499981170174,-4.430560507622875e-06
0.045,0.03482592843042081,-0.6758293529108305,-13.859526561676839,-4.93738767457513e-06
0.046,0.03415009907750998,-0.6896087378057949,-13.780941753198835,-5.520674643606025e-06
0.047,0.033460490339704184,-0.703307974528736,-13.700754690663278,-6.195054704754747e-06
0.048,0.03275718236517545,-0.7169254835252877,-13.618974693625054,-6.978575289307173e-06
0.049,0.03204025688165016,-0.7304596934855677,-13.535611265308159,-7.893647142681575e-06
0.05,0.03130979718816459,-0.7439090413441782,-13.450674091647047,-8.968302517505361e-06
0.051000000000000004,0.03056588814682041,-0.7572719722802053,-13.364173040327955,-1.0237878673374002e-05
0.052000000000000005,0.029808616174540205,-0.7705469397172181,-13.276118159830256,-1.174729302302802e-05
0.053,0.029038069234822987,-0.7837324053232708,-13.18651967846779,-1.3554150749660006e-05
0.054,0.028254336829499717,-0.7968268390109011,-13.095388003430198,-1.5733038058754695e-05
0.055,0.027457509990488814,-0.8098287189371308,-13.002733719824283,-1.8381526085190255e-05
0.056,0.026647681271551683,-0.8227365315034657,-12.908567589715314,-2.1628677380699343e-05
0.057,0.025824944740048216,-0.8355487713558953,-12.812900551168397,-2.564726809383644e-05
0.058,0.024989395968692322,-0.8482639413848934,-12.715743717289806,-3.0671614899912026e-05
0.059000000000000004,0.02414113202730743,-0.8608805527254176,-12.617108375268305,-3.702399991220384e-05
0.06,0.02328025147458201,-0.8733971247569094,-12.517005985416512,-4.515452410334984e-05
0.061,0.0224068543498251,-0.8858121851032947,-12.415448180212223,-5.570233553380806e-05
0.062,0.021521042164721806,-0.898124269632983,-12.312446763339745,-6.95915642116507e-05
0.063,0.020622917895088824,-0.9103320392652986,-12.20801370873126,-8.818477594500514e-05
0.064,0.019712585855823524,-0.9224355889961474,-12.102161146025992,-0.00011353372975295683
0.065,0.018790150266827378,-0.934433837108488,-11.994901193817135,-0.00014879807566769643
0.066,0.01785571642971889,-0.9463252056564141,-11.886246096478942,-0.00019895710497078222
0.067,0.016909391224062476,-0.9581081369638016,-11.776208281867731,-0.0002720376512703049
0.068,0.015951283087098676,-0.9697810936243096,-11.664800358964962,-0.00038123306686894
0.069,0.014981501993474367,-0.9813425585013801,-11.552035115520276,-0.0005484469665373547
0.07,0.014000159434972986,-0.9927910347282376,-11.437925515694532,-0.0008095540890496735
0.07100000000000001,0.013007368400244749,-1.0041250457078894,-11.322484697702878,-0.0012191368107296867
0.07200000000000001,0.01200324335453686,-1.0153431351131257,-11.205725971457776,-0.0018412727758162304
0.073,0.010987900219423734,-1.0264438668865197,-11.087662816212063,-0.0026836162153181346
0.074,0.009961456352537215,-1.0374258252404274,-10.968308878202002,-0.0035294309974271396
0.075,0.008924030527296787,-1.0482876146569875,-10.847677968290325,-0.0038667294823542917
0.076,0.0078757429126398,-1.059027859888121,-10.72578405960928,-0.0033684947671491147
0.077,0.006816715052751679,-1.0696452059555328,-10.602641285203683,-0.0023509131444071963
0.078,0.005747069846796146,-1.0801383181507096,-10.47826393567397,-0.0012955998768300766
0.079,0.0046669315286454365,-1.0905058820349214,-10.352666456819238,-0.00036562096131915203
0.08,0.0035764256466105154,-1.1007466034392208,-10.225863447280293,0.000524909225286393
0.081,0.0024756790431712944,-1.1108592084644435,-10.09786965618271,0.0015328145204564977
0.082,0.001364819834706851,-1.1208424434812077,-9.968699980779867,0.0027272407717782205
0.083,0.00024397739122564328,-1.1306950751299145,-9.838369464096006,0.003827631859906796
0.084,-0.0008867176839042713,-1.1404158903207482,-9.706893292569271,0.004165096853186187
0.085,-0.0020271335742250195,-1.1500036962336753,-9.574286793694766,0.003505376271445202
0.08600000000000001,-0.0031771372704586945,-1.1594573203184453,-9.440565433667594,0.002455231626658819
0.08700000000000001,-0.00433659459077714,-1.1687756102945905,-9.305744815025914,0.001578815162563576
0.088,-0.00550537020107173,-1.1779574341514263,-9.169840674293985,0.0009981618013973899
0.089,-0.006683327635223156,-1.1870016801480507,-9.032868879625214,0.0006413113585099105
0.09,-0.007870329315371207,-1.1959072568133442,-8.894845428445208,0.0004237566961756661
0.091,-0.009066236572184552,-1.204673092945971,-8.75578644509482,0.0002886197966705161
0.092,-0.010270909665130522,-1.2132981376143768,-8.615708178473195,0.00020231831660296742
0.093,-0.011484207802744898,-1.2217813601567913,-8.474626999680826,0.00014556393701199848
0.094,-0.01270598916290169,-1.2301217501812263,-8.332559399662594,0.00010718027608803027
0.095,-0.013936110913082916,-1.2383183175654766,-8.189521986850822,8.054540165552826e-05
0.096,-0.015174429230648392,-1.2463700924571204,-8.045531484808327,6.163004685190943e-05
0.097,-0.016420799323105514,-1.2542761252735173,-7.900604729871452,4.791519768104485e-05
0.098,-0.01767507544837903,-1.2620354867018113,-7.754758668793136,3.778463516100522e-05
0.099,-0.018937110935080843,-1.269647267698928,-7.6080103563859485,3.0176011577582294e-05
0.1,-0.02020675820277977,-1.2771105794915767,-7.4603769531651425,2.4375341271734498e-05
0.101,-0.021483868782271348,-1.2844245535762489,-7.311875722991704,1.989290739629455e-05
0.10200000000000001,-0.022768293335847598,-1.2915883417192187,-7.162524030715396,1.6386521947500115e-05
0.10300000000000001,-0.024059881677566817,-1.298601115956544,-7.012339339817812,1.3612993365178185e-05
0.10400000000000001,-0.02535848279352336,-1.3054620685940646,-6.861339210055423,1.1396785696757718e-05
0.105,-0.026663944862117425,-1.3121704122074034,-6.709541295102626,9.609383935289422e-06
0.106,-0.02797611527432483,-1.3187253796419665,-6.5569633401947875,8.15546265637766e-06
0.107,-0.029294840653966796,-1.3251262240129422,-6.403623179771302,6.963459939663735e-06
0.108,-0.03061996687797974,-1.3313722187053016,-6.249538735118636,5.979054161542122e-06
0.109,-0.031951339096685044,-1.3374626573737993,-6.094728012013366,5.160585020090789e-06
