Time(s);Coil;Accelerometer;Generator;
2025-05-26 20:08:00.000;0,011752;-187,14;4096,8;
2025-05-26 20:08:00.001;0,015912;-179,25;3969,2;
2025-05-26 20:08:00.002;-0,1341;-170,48;3813,5;
2025-05-26 20:08:00.003;-0,12859;-160,99;3640,6;
2025-05-26 20:08:00.004;-0,019278;-150,47;3441,8;
2025-05-26 20:08:00.005;0,084899;-139,05;3227,8;
2025-05-26 20:08:00.006;0,014744;-126,9;2990,5;
2025-05-26 20:08:00.007;-0,019588;-114,02;2740,6;
2025-05-26 20:08:00.008;-0,098195;-100,62;2471,5;
2025-05-26 20:08:00.009;0,16904;-86,866;2192,3;
2025-05-26 20:08:00.010;-0,34381;-72,899;1896,6;
2025-05-26 20:08:00.011;-0,64512;-58,986;1595;
2025-05-26 20:08:00.012;0,10061;-44,863;1279,7;
2025-05-26 20:08:00.013;-0,10919;-30,514;962,23;
2025-05-26 20:08:00.014;0,3594;-16,042;634,49;
2025-05-26 20:08:00.015;-1,9215;-0,94809;308,93;
2025-05-26 20:08:00.016;-0,58108;14,801;-24,122;
2025-05-26 20:08:00.017;0,54102;31,461;-350,72;
2025-05-26 20:08:00.018;2,7289;49,274;-680,23;
2025-05-26 20:08:00.019;2,0861;68,193;-1002,1;
2025-05-26 20:08:00.020;-0,57551;87,986;-1322,3;
2025-05-26 20:08:00.021;-0,28419;108,7;-1630,4;
2025-05-26 20:08:00.022;-1,3419;129,76;-1933,5;
2025-05-26 20:08:00.023;0,11518;150,83;-2221,5;
2025-05-26 20:08:00.024;0,18794;171,34;-2501,3;
2025-05-26 20:08:00.025;1,2391;191,04;-2762,6;
2025-05-26 20:08:00.026;0,35639;209,31;-3013,3;
2025-05-26 20:08:00.027;0,26819;225,53;-3242;
2025-05-26 20:08:00.028;1,333;239,61;-3455,8;
2025-05-26 20:08:00.029;1,7396;251,18;-3646,6;
2025-05-26 20:08:00.030;-0,59144;259,48;-3820,7;
2025-05-26 20:08:00.031;0,42105;265,33;-3968,4;
2025-05-26 20:08:00.032;0,24364;268,41;-4098,1;
