Time(s);Coil;Accelerometer;Generator;
2025-05-26 19:58:02.000;1,3034;-0,61872;-1004,3;
2025-05-26 19:58:02.001;2,8894;-0,81613;-2213,4;
2025-05-26 19:58:02.002;0,33979;-0,52001;-3224,8;
2025-05-26 19:58:02.003;-0,20118;0,49279;-3952,3;
2025-05-26 19:58:02.004;0,886;2,6588;-4321;
2025-05-26 19:58:02.005;-1,4835;5,3822;-4296,8;
2025-05-26 19:58:02.006;-0,50646;7,9196;-3875;
2025-05-26 19:58:02.007;0,77387;10,035;-3105,1;
2025-05-26 19:58:02.008;2,7904;10,716;-2052,3;
2025-05-26 19:58:02.009;-1,5742;9,5217;-827,3;
2025-05-26 19:58:02.010;-2,402;6,6377;480,95;
2025-05-26 19:58:02.011;-0,41236;2,0009;1736,4;
2025-05-26 19:58:02.012;1,4203;-3,8419;2851,9;
2025-05-26 19:58:02.013;1,8866;-8,7205;3701,8;
2025-05-26 19:58:02.014;0,93114;-13,296;4232,3;
2025-05-26 19:58:02.015;1,5971;-15,656;4363;
2025-05-26 19:58:02.016;-0,33937;-14,891;4106,6;
2025-05-26 19:58:02.017;2,3586;-11,988;3463,7;
2025-05-26 19:58:02.018;-2,1341;-6,9565;2521,3;
2025-05-26 19:58:02.019;-2,23;-0,91102;1349,2;
2025-05-26 19:58:02.020;-0,27334;4,9302;66,048;
2025-05-26 19:58:02.021;0,71586;9,4328;-1225,1;
2025-05-26 19:58:02.022;0,82968;11,719;-2404,4;
2025-05-26 19:58:02.023;0,67856;11,501;-3375,1;
2025-05-26 19:58:02.024;0,5046;9,1227;-4042,5;
2025-05-26 19:58:02.025;-0,014546;5,2733;-4346,1;
2025-05-26 19:58:02.026;0,16368;1,1083;-4248,9;
2025-05-26 19:58:02.027;-0,67833;-2,2025;-3764,7;
2025-05-26 19:58:02.028;1,8501;-3,7987;-2934,4;
2025-05-26 19:58:02.029;1,2323;-3,4471;-1849,1;
2025-05-26 19:58:02.030;-3,2906;-1,1699;-591,61;
2025-05-26 19:58:02.031;-1,2469;1,8873;707,05;
2025-05-26 19:58:02.032;-0,098636;5,0145;1954,8;
2025-05-26 19:58:02.032;0,40338;6,6162;3018,4;
2025-05-26 19:58:02.034;1,9059;6,1614;3827;
2025-05-26 19:58:02.035;2,8515;3,1113;4277,9;
2025-05-26 19:58:02.036;1,7401;-2,716;4351,9;
2025-05-26 19:58:02.037;0,99512;-8,7422;4013,9;
2025-05-26 19:58:02.038;-0,96363;-14,701;3323,1;
2025-05-26 19:58:02.039;-2,8679;-18,689;2326,2;
2025-05-26 19:58:02.040;-1,7517;-18,532;1132,6;
2025-05-26 19:58:02.041;-0,41877;-14,714;-163,49;
2025-05-26 19:58:02.042;1,3061;-7,0315;-1437,7;
2025-05-26 19:58:02.043;1,5625;3,6434;-2590,5;
2025-05-26 19:58:02.044;0,18054;14,447;-3512;
2025-05-26 19:58:02.045;0,11383;23,244;-4122,8;
2025-05-26 19:58:02.046;-0,24958;27,94;-4357,1;
2025-05-26 19:58:02.047;-0,55343;26,655;-4192,7;
2025-05-26 19:58:02.048;0,32657;19,316;-3640,5;
2025-05-26 19:58:02.049;2,7847;7,1859;-2764,2;
