Time(s);Coil;Accelerometer;Generator;
2025-05-29 11:28:09.000;-0,43383;-8,3957;4587,6;
2025-05-29 11:28:09.001;-0,43881;-8,7354;4571,6;
2025-05-29 11:28:09.002;-0,42566;-9,1717;4558,7;
2025-05-29 11:28:09.003;-0,42941;-9,693;4539,2;
2025-05-29 11:28:09.004;-0,42019;-10,221;4527;
2025-05-29 11:28:09.005;-0,42811;-10,719;4505,5;
2025-05-29 11:28:09.006;-0,42604;-11,163;4491,6;
2025-05-29 11:28:09.007;-0,42556;-11,507;4468,5;
2025-05-29 11:28:09.008;-0,42492;-11,71;4451,9;
2025-05-29 11:28:09.009;-0,42293;-11,806;4425,5;
2025-05-29 11:28:09.010;-0,42981;-11,794;4412,7;
2025-05-29 11:28:09.011;-0,43231;-11,687;4388,2;
2025-05-29 11:28:09.012;-0,4313;-11,552;4366;
2025-05-29 11:28:09.013;-0,43551;-11,442;4338,6;
2025-05-29 11:28:09.014;-0,43255;-11,398;4318,2;
2025-05-29 11:28:09.015;-0,43078;-11,445;4289,3;
2025-05-29 11:28:09.016;-0,42961;-11,628;4267,7;
2025-05-29 11:28:09.017;-0,43133;-11,921;4237,3;
2025-05-29 11:28:09.018;-0,42281;-12,317;4213,5;
2025-05-29 11:28:09.019;-0,41627;-12,831;4180,3;
2025-05-29 11:28:09.020;-0,43035;-13,306;4157,3;
2025-05-29 11:28:09.021;-0,4465;-13,805;4126,4;
2025-05-29 11:28:09.022;-0,43183;-14,272;4097,8;
2025-05-29 11:28:09.023;-0,42824;-14,585;4063,2;
2025-05-29 11:28:09.024;-0,43144;-14,835;4035,8;
2025-05-29 11:28:09.025;-0,42753;-15,024;3999,3;
2025-05-29 11:28:09.026;-0,43082;-15,057;3970,3;
2025-05-29 11:28:09.027;-0,43093;-14,998;3932,3;
2025-05-29 11:28:09.028;-0,42674;-14,88;3900,5;
2025-05-29 11:28:09.029;-0,42535;-14,691;3859,7;
2025-05-29 11:28:09.030;-0,42818;-14,402;3831,9;
2025-05-29 11:28:09.031;-0,4355;-14,092;3793,1;
2025-05-29 11:28:09.032;-0,43328;-13,761;3756,1;
2025-05-29 11:28:09.032;-0,43271;-13,372;3714,3;
2025-05-29 11:28:09.034;-0,43406;-13,03;3679,5;
2025-05-29 11:28:09.035;-0,43538;-12,724;3636,3;
2025-05-29 11:28:09.036;-0,43695;-12,474;3600,6;
2025-05-29 11:28:09.037;-0,43048;-12,263;3556,2;
2025-05-29 11:28:09.038;-0,42702;-12,214;3518,4;
2025-05-29 11:28:09.039;-0,42223;-12,277;3471,6;
2025-05-29 11:28:09.040;-0,43618;-12,364;3434,9;
2025-05-29 11:28:09.041;-0,45109;-12,559;3390,5;
2025-05-29 11:28:09.042;-0,43255;-12,848;3348,6;
2025-05-29 11:28:09.043;-0,43259;-13,114;3300,8;
2025-05-29 11:28:09.044;-0,42842;-13,357;3260,2;
2025-05-29 11:28:09.045;-0,43174;-13,594;3210,9;
2025-05-29 11:28:09.046;-0,42744;-13,742;3169,1;
2025-05-29 11:28:09.047;-0,43421;-13,75;3118,7;
2025-05-29 11:28:09.048;-0,43003;-13,66;3074,6;
2025-05-29 11:28:09.049;-0,42796;-13,479;3021,7;
2025-05-29 11:28:09.050;-0,42954;-13,16;2981,8;
2025-05-29 11:28:09.051;-0,43924;-12,734;2931,3;
2025-05-29 11:28:09.052;-0,43468;-12,279;2882,8;
2025-05-29 11:28:09.053;-0,43818;-11,802;2829,8;
2025-05-29 11:28:09.054;-0,43557;-11,319;2783,8;
2025-05-29 11:28:09.055;-0,43355;-10,893;2729,7;
2025-05-29 11:28:09.056;-0,44027;-10,568;2683,3;
2025-05-29 11:28:09.057;-0,43476;-10,343;2628,4;
2025-05-29 11:28:09.058;-0,43282;-10,227;2580,2;
2025-05-29 11:28:09.059;-0,42626;-10,237;2523,3;
2025-05-29 11:28:09.060;-0,43744;-10,336;2476,7;
2025-05-29 11:28:09.061;-0,45097;-10,472;2422,6;
2025-05-29 11:28:09.062;-0,43389;-10,625;2371,2;
2025-05-29 11:28:09.063;-0,43409;-10,756;2314,2;
2025-05-29 11:28:09.064;-0,43279;-10,808;2264,6;
2025-05-29 11:28:09.065;-0,43439;-10,76;2206,4;
2025-05-29 11:28:09.065;-0,43663;-10,625;2155,9;
2025-05-29 11:28:09.067;-0,43526;-10,399;2097,1;
2025-05-29 11:28:09.068;-0,43458;-10,089;2045;
2025-05-29 11:28:09.069;-0,43699;-9,7399;1983,9;
2025-05-29 11:28:09.070;-0,43506;-9,399;1936,1;
2025-05-29 11:28:09.071;-0,44134;-9,0878;1877,7;
2025-05-29 11:28:09.072;-0,4347;-8,8424;1822;
2025-05-29 11:28:09.073;-0,44012;-8,6986;1761,8;
2025-05-29 11:28:09.074;-0,43694;-8,6661;1708,7;
2025-05-29 11:28:09.075;-0,4412;-8,7369;1647,9;
2025-05-29 11:28:09.076;-0,43735;-8,899;1594,8;
