Frequency_Hz,A
2,10644.027516197
4,45356.553047119494
6,93431.4698674845
8,153878.88069294064
10,211680.919126985
12,257893.08523755
14,284510.59559214994
16,320489.06145235006
18,360069.9367033
20,393914.91260015
22,438766.4327835
24,470845.09507165
26,510013.07448413497
28,520485.87560447
30,532885.0005843249
32,546806.5212343
34,557763.0768892
36,574284.9885969
38,587627.4593152
40,596403.071104
42,592061.2862109999
44,584950.942155
46,579669.0784196
48,563225.3964243999
50,557915.6590355999
52,566712.9813823
54,562917.6311035
56,544121.34432605
58,520019.9273947785
60,503227.140365285
62,501495.2396038
64,497653.49550354097
66,494380.3644708
68,497653.49550354097
70,479121.71625444
