Time(s);Coil;Accelerometer;Generator;
2025-05-26 20:09:02.000;0,18475;0,062;580,58;
2025-05-26 20:09:02.001;0,1746;0,256;738,9;
2025-05-26 20:09:02.002;0,18152;0,478;898,95;
2025-05-26 20:09:02.003;0,17878;0,732;1055;
2025-05-26 20:09:02.004;0,18003;1,020;1212,9;
2025-05-26 20:09:02.005;0,18278;1,338;1366,2;
2025-05-26 20:09:02.006;0,17861;1,679;1516,1;
2025-05-26 20:09:02.007;0,17367;2,038;1666,7;
2025-05-26 20:09:02.008;0,18122;2,408;1816,8;
2025-05-26 20:09:02.009;0,17745;2,776;1960,8;
2025-05-26 20:09:02.010;0,17433;3,133;2104,8;
2025-05-26 20:09:02.011;0,18052;3,473;2243,1;
2025-05-26 20:09:02.012;0,17687;3,789;2380,5;
2025-05-26 20:09:02.013;0,17535;4,085;2512,3;
2025-05-26 20:09:02.014;0,17549;4,357;2643,3;
2025-05-26 20:09:02.015;0,17918;4,610;2768,2;
2025-05-26 20:09:02.016;0,16967;4,847;2889,9;
2025-05-26 20:09:02.017;0,17251;5,072;3006,4;
2025-05-26 20:09:02.018;0,17485;5,290;3122;
2025-05-26 20:09:02.019;0,17791;5,500;3229;
2025-05-26 20:09:02.020;0,1818;5,693;3334,7;
2025-05-26 20:09:02.021;0,18095;5,868;3433,2;
2025-05-26 20:09:02.022;0,18909;6,012;3529,6;
2025-05-26 20:09:02.023;0,18519;6,109;3618,3;
2025-05-26 20:09:02.024;0,18909;6,151;3704,8;
2025-05-26 20:09:02.025;0,18399;6,124;3783;
2025-05-26 20:09:02.026;0,18723;6,020;3857;
2025-05-26 20:09:02.027;0,18427;5,840;3925,2;
2025-05-26 20:09:02.028;0,18223;5,590;3989,4;
2025-05-26 20:09:02.029;0,17862;5,278;4045,5;
2025-05-26 20:09:02.030;0,18388;4,919;4097,9;
2025-05-26 20:09:02.031;0,18502;4,533;4142,1;
2025-05-26 20:09:02.032;0,18061;4,139;4182,1;
2025-05-26 20:09:02.032;0,18043;3,752;4213,9;
2025-05-26 20:09:02.034;0,17822;3,389;4241,7;
2025-05-26 20:09:02.035;0,17925;3,062;4260,7;
2025-05-26 20:09:02.036;0,18177;2,776;4277;
2025-05-26 20:09:02.037;0,18424;2,533;4282,8;
2025-05-26 20:09:02.038;0,18321;2,336;4285,7;
2025-05-26 20:09:02.039;0,1843;2,178;4278,8;
2025-05-26 20:09:02.040;0,19179;2,055;4268,9;
2025-05-26 20:09:02.041;0,19239;1,961;4249,9;
2025-05-26 20:09:02.042;0,18949;1,890;4227,5;
2025-05-26 20:09:02.043;0,19278;1,835;4195,8;
2025-05-26 20:09:02.044;0,1964;1,791;4160,5;
2025-05-26 20:09:02.045;0,19108;1,753;4115,6;
2025-05-26 20:09:02.046;0,19917;1,716;4069;
2025-05-26 20:09:02.047;0,19623;1,679;4013,3;
2025-05-26 20:09:02.048;0,19566;1,637;3952,8;
2025-05-26 20:09:02.049;0,19146;1,590;3885,2;
2025-05-26 20:09:02.050;0,19752;1,539;3813,6;
2025-05-26 20:09:02.051;0,20847;1,483;3734,1;
2025-05-26 20:09:02.052;0,21187;1,424;3651,1;
2025-05-26 20:09:02.053;0,21926;1,365;3560,9;
2025-05-26 20:09:02.054;0,22061;1,310;3467,1;
2025-05-26 20:09:02.055;0,22999;1,262;3365,9;
2025-05-26 20:09:02.056;0,23659;1,222;3266,3;
2025-05-26 20:09:02.057;0,23401;1,192;3154,7;
2025-05-26 20:09:02.058;0,20081;1,182;3042,1;
2025-05-26 20:09:02.059;0,15964;1,181;2922,7;
2025-05-26 20:09:02.060;0,17828;1,190;2802,3;
2025-05-26 20:09:02.061;0,19893;1,209;2675,1;
2025-05-26 20:09:02.062;0,20175;1,232;2547,1;
2025-05-26 20:09:02.063;0,19964;1,254;2412,6;
2025-05-26 20:09:02.064;0,19402;1,268;2277,2;
2025-05-26 20:09:02.065;0,19604;1,275;2134,8;
2025-05-26 20:09:02.065;0,21645;1,270;1996;
2025-05-26 20:09:02.067;0,20708;1,261;1849,5;
2025-05-26 20:09:02.068;0,19862;1,238;1701,8;
2025-05-26 20:09:02.069;0,20721;1,214;1550,7;
2025-05-26 20:09:02.070;0,20292;1,182;1399,5;
2025-05-26 20:09:02.071;0,20097;1,144;1243,9;
2025-05-26 20:09:02.072;0,20324;1,105;1089,2;
2025-05-26 20:09:02.073;0,20616;1,058;930,43;
2025-05-26 20:09:02.074;0,20121;0,999;772,11;
