Time(s);Coil;Accelerometer;Generator;
2025-05-26 20:06:15.000;-3,7982;103,29;-3936,3;
2025-05-26 20:06:15.001;-2,7869;33,411;-4166;
2025-05-26 20:06:15.002;-3,1664;-37,549;-4317,3;
2025-05-26 20:06:15.003;-2,2394;-106,66;-4381,9;
2025-05-26 20:06:15.004;-0,041499;-174,36;-4362,7;
2025-05-26 20:06:15.005;0,98901;-236,46;-4255,6;
2025-05-26 20:06:15.006;3,1709;-292,56;-4068;
2025-05-26 20:06:15.007;3,9792;-342,58;-3798,8;
2025-05-26 20:06:15.008;6,8499;-383,17;-3457,4;
2025-05-26 20:06:15.009;4,6469;-415,81;-3047,9;
2025-05-26 20:06:15.010;-2,3451;-440,44;-2582,9;
2025-05-26 20:06:15.011;-0,26931;-455,77;-2065,8;
2025-05-26 20:06:15.012;0,11823;-462,69;-1512,9;
2025-05-26 20:06:15.013;0,88013;-461,47;-928,93;
2025-05-26 20:06:15.014;1,2334;-451,83;-330,79;
2025-05-26 20:06:15.015;1,1637;-434,09;275,92;
2025-05-26 20:06:15.016;-0,57861;-408,82;872,74;
2025-05-26 20:06:15.017;0,44309;-376,07;1458,9;
2025-05-26 20:06:15.018;1,0059;-336,86;2014,3;
2025-05-26 20:06:15.019;2,5181;-290,97;2534,5;
2025-05-26 20:06:15.020;-6,7979;-239,77;3004,3;
2025-05-26 20:06:15.021;-5,4461;-184,19;3420;
2025-05-26 20:06:15.022;-3,1067;-124,85;3768,6;
2025-05-26 20:06:15.023;-0,70567;-63,272;4046,9;
2025-05-26 20:06:15.024;0,91249;-1,5207;4245,5;
2025-05-26 20:06:15.025;4,2969;60,209;4362,6;
2025-05-26 20:06:15.026;3,1244;120,19;4394,1;
2025-05-26 20:06:15.027;-4,2686;177,45;4339,2;
2025-05-26 20:06:15.028;-1,6092;231,33;4199,4;
2025-05-26 20:06:15.029;-0,59084;280,85;3977,5;
2025-05-26 20:06:15.030;0,86667;325,15;3678,8;
2025-05-26 20:06:15.031;1,3138;364;3309,3;
2025-05-26 20:06:15.032;1,8184;397,02;2876,9;
2025-05-26 20:06:15.032;1,7624;423,03;2389,8;
2025-05-26 20:06:15.034;1,7476;442,17;1859;
2025-05-26 20:06:15.035;0,95727;453,55;1293,1;
2025-05-26 20:06:15.036;0,39888;456,62;703,43;
2025-05-26 20:06:15.037;-0,1498;451,29;101,51;
2025-05-26 20:06:15.038;-0,80013;437,26;-502,65;
2025-05-26 20:06:15.039;-1,0558;414,13;-1096,4;
2025-05-26 20:06:15.040;-1,3976;382,47;-1670,2;
2025-05-26 20:06:15.041;-0,84814;342,73;-2212,3;
2025-05-26 20:06:15.042;-0,55683;295,31;-2714;
2025-05-26 20:06:15.043;1,5281;241,05;-3164;
2025-05-26 20:06:15.044;-0,33608;181,79;-3554,6;
2025-05-26 20:06:15.045;-0,52158;118,17;-3876,2;
2025-05-26 20:06:15.046;-0,83935;51,104;-4124,6;
2025-05-26 20:06:15.047;0,20833;-17,432;-4292,2;
2025-05-26 20:06:15.048;0,86417;-86,37;-4376,7;
2025-05-26 20:06:15.049;-0,98158;-154,1;-4374,1;
2025-05-26 20:06:15.050;1,354;-218,28;-4287,3;
2025-05-26 20:06:15.051;1,6575;-278,22;-4114,2;
2025-05-26 20:06:15.052;0,55622;-332,17;-3863,1;
2025-05-26 20:06:15.053;1,1447;-377,92;-3534,3;
2025-05-26 20:06:15.054;2,2731;-415,03;-3140,2;
2025-05-26 20:06:15.055;2,149;-442,26;-2683,2;
2025-05-26 20:06:15.056;2,8249;-459,6;-2180,3;
2025-05-26 20:06:15.057;1,0176;-466,74;-1630,4;
2025-05-26 20:06:15.058;-0,22878;-463,67;-1054,3;
2025-05-26 20:06:15.059;-0,76617;-451,8;-455,77;
2025-05-26 20:06:15.060;-0,62402;-431,24;147,9;
2025-05-26 20:06:15.061;-0,29783;-403,17;751,47;
2025-05-26 20:06:15.062;0,48233;-369,33;1337,5;
2025-05-26 20:06:15.063;0,81087;-330,32;1901,9;
2025-05-26 20:06:15.064;-1,5991;-286,88;2427,8;
2025-05-26 20:06:15.065;-3,0566;-240,09;2910,2;
2025-05-26 20:06:15.065;-1,88;-189,92;3336,1;
2025-05-26 20:06:15.067;-0,25752;-137,53;3700,5;
2025-05-26 20:06:15.068;1,3434;-82,028;3992,8;
2025-05-26 20:06:15.069;0,054262;-24,958;4209,2;
2025-05-26 20:06:15.070;-2,2122;33,818;4343;
2025-05-26 20:06:15.071;-0,61275;93,87;4393,5;
2025-05-26 20:06:15.072;1,3416;153,35;4357,4;
2025-05-26 20:06:15.073;3,282;211,48;4236,4;
2025-05-26 20:06:15.074;4,5077;267,1;4032,2;
2025-05-26 20:06:15.075;5,8494;317,78;3749,9;
2025-05-26 20:06:15.076;6,5943;362,97;3395,4;
2025-05-26 20:06:15.077;8,449;401,02;2976,9;
2025-05-26 20:06:15.078;8,0366;430,42;2500,6;
2025-05-26 20:06:15.079;4,7829;451,25;1978,6;
2025-05-26 20:06:15.080;2,6235;462,51;1419,9;
2025-05-26 20:06:15.081;0,54946;464,4;834,68;
2025-05-26 20:06:15.082;-0,94354;456,9;234,08;
2025-05-26 20:06:15.083;-1,9217;440,48;-370,3;
2025-05-26 20:06:15.084;-1,3559;416,4;-967,18;
2025-05-26 20:06:15.085;-5,495;384,46;-1546,4;
2025-05-26 20:06:15.086;-4,4942;345,36;-2096,2;
2025-05-26 20:06:15.087;-5,0186;300,56;-2607,7;
2025-05-26 20:06:15.088;-4,7293;249,35;-3069,9;
2025-05-26 20:06:15.089;-2,8246;193,24;-3474;
2025-05-26 20:06:15.090;-3,1346;132,34;-3812,2;
