Frequency_Hz,A
2,54420.7561709895
4,112504.313240745
6,166016.28770024498
8,214121.79802511
10,269279.206692515
12,321391.53319407493
14,356534.04271326005
16,388980.78134179005
18,400781.1167534
20,474507.00227225
22,483979.8533741
24,544255.3645981001
26,558903.38547435
28,585652.40293775
30,599601.21745715
32,616316.5750724501
34,618928.3661885
36,639130.0084383
38,646426.3219784
40,631280.62513435
44,623190.2493937999
46,617647.659391
48,612052.7547455
50,601944.54573745
52,542689.8937016351
54,516436.8821487045
56,514048.49151185
58,477532.2079438
60,462042.0267317
62,462042.0267317
64,468509.8939606
66,466330.30418355
68,457193.54036035005
70,454967.34699955
