Time(s);Coil;Accelerometer;Generator;
2025-05-31 17:54:00.000;-2,5596;-173,69;-3365,7;
2025-05-31 17:54:00.001;-3,2379;-40,885;-2672,4;
2025-05-31 17:54:00.002;-2,2342;77,113;-1859,2;
2025-05-31 17:54:00.003;-3,3166;218,75;-963,54;
2025-05-31 17:54:00.004;-2,5692;295,04;-26,442;
2025-05-31 17:54:00.005;-0,89905;427,51;912,95;
2025-05-31 17:54:00.006;-2,0649;523,65;1810,3;
2025-05-31 17:54:00.007;-1,2245;538,85;2629,7;
2025-05-31 17:54:00.008;-1,3616;626,31;3329,2;
2025-05-31 17:54:00.009;-1,451;612,84;3882;
2025-05-31 17:54:00.010;-1,3687;524,48;4253,5;
2025-05-31 17:54:00.011;-1,2352;623,77;4435,6;
2025-05-31 17:54:00.012;-1,8706;421,21;4406,6;
2025-05-31 17:54:00.013;-0,58196;394,16;4181;
2025-05-31 17:54:00.014;0,32523;303,03;3756,4;
2025-05-31 17:54:00.015;0,54338;135,76;3167,8;
2025-05-31 17:54:00.016;0,84379;-16,939;2430,1;
2025-05-31 17:54:00.017;-1,1339;-111,55;1592;
2025-05-31 17:54:00.018;0,51119;-198,99;678,05;
2025-05-31 17:54:00.019;0,50881;-408,5;-258,45;
2025-05-31 17:54:00.020;-1,0659;-462,8;-1188,8;
2025-05-31 17:54:00.021;-0,95747;-519,9;-2062,4;
2025-05-31 17:54:00.022;-2,0458;-605,64;-2848,8;
2025-05-31 17:54:00.023;-2,109;-625,9;-3505,1;
2025-05-31 17:54:00.024;-2,8791;-585,84;-4005,3;
2025-05-31 17:54:00.025;-3,0508;-576,83;-4321,6;
2025-05-31 17:54:00.026;-3,8256;-528,93;-4439,6;
2025-05-31 17:54:00.027;-3,7982;-419,13;-4352,2;
2025-05-31 17:54:00.028;-3,3202;-314,76;-4061,8;
2025-05-31 17:54:00.029;-3,0007;-243,84;-3585,9;
2025-05-31 17:54:00.030;-3,0591;-92,353;-2945,3;
2025-05-31 17:54:00.031;-2,7087;43,978;-2173;
2025-05-31 17:54:00.032;-2,4321;157,94;-1304;
2025-05-31 17:54:00.032;-2,0184;271,77;-375,92;
2025-05-31 17:54:00.034;-2,3379;417,4;566,88;
2025-05-31 17:54:00.035;-1,7013;460,27;1486,6;
2025-05-31 17:54:00.036;-1,5332;539,82;2337,6;
2025-05-31 17:54:00.037;-1,383;621,33;3088,2;
2025-05-31 17:54:00.038;-1,0957;566,76;3694,1;
2025-05-31 17:54:00.039;-1,3079;636,26;4139,9;
2025-05-31 17:54:00.040;-1,0731;538,35;4390,4;
2025-05-31 17:54:00.041;-1,091;505,05;4444,6;
2025-05-31 17:54:00.042;-0,35427;411,74;4286,9;
2025-05-31 17:54:00.043;-0,034786;292,69;3938,6;
2025-05-31 17:54:00.044;0,86763;213,33;3403,7;
2025-05-31 17:54:00.045;-0,41387;81,577;2722,1;
2025-05-31 17:54:00.046;0,15833;-90,683;1913,2;
2025-05-31 17:54:00.047;0,21078;-197,35;1027,1;
2025-05-31 17:54:00.048;-0,84541;-320,39;92,19;
2025-05-31 17:54:00.049;-0,77388;-430,97;-843,31;
2025-05-31 17:54:00.050;-1,6608;-531,55;-1745,5;
2025-05-31 17:54:00.051;-1,5392;-547,16;-2566,5;
2025-05-31 17:54:00.052;-2,382;-619,78;-3276,6;
2025-05-31 17:54:00.053;-2,4643;-625,91;-3837,4;
2025-05-31 17:54:00.054;-2,9912;-582,72;-4225,9;
2025-05-31 17:54:00.055;-3,0186;-529,57;-4419,7;
2025-05-31 17:54:00.056;-3,6039;-479,94;-4409,3;
2025-05-31 17:54:00.057;-4,5552;-368,72;-4193,9;
2025-05-31 17:54:00.058;-3,1295;-257,02;-3786,7;
2025-05-31 17:54:00.059;-2,2127;-129,82;-3203,2;
2025-05-31 17:54:00.060;-3,9723;-15,229;-2474,9;
2025-05-31 17:54:00.061;-2,8481;107,45;-1636,4;
2025-05-31 17:54:00.062;-1,5416;244,5;-725,17;
2025-05-31 17:54:00.063;-2,3415;342,18;218,55;
2025-05-31 17:54:00.064;-1,4653;432,38;1150,3;
2025-05-31 17:54:00.065;-1,7252;551,75;2033,3;
2025-05-31 17:54:00.065;-1,476;553,05;2822,8;
2025-05-31 17:54:00.067;-1,1887;617,48;3489;
