z,s
0.04,0.0028901381239693387
0.05,0.0052824286412867984
0.06,0.005535129633632544
0.07,0.007935217624473372
0.08,0.015916299574036515
0.09,0.026394273921727978
0.1,0.035204887562098955
0.11,0.0418638333223953
0.12,0.04680159952744965
0.13,0.050648286113755894
0.14,0.05365659786360262
0.15,0.0561385783314561
0.16,0.058200028890586133
0.17,0.059909345842828886
0.18,0.06134387239825169
0.19,0.06256617050733412
0.2,0.06362192634368348
0.21,0.06454429364131736
0.22,0.065357833845113
0.23,0.06608119860216298
0.24,0.06672886969116197
0.25,0.06731230545508632
0.26,0.06784071553125869
0.27,0.06832160123832103
0.28,0.06876114248501548
0.29,0.06916448185893928
0.3,0.0695359361789946
0.31,0.06987915748945622
0.32,0.07019725768197853
0.33,0.07049290558124574
0.34,0.07076840339983967
0.35,0.07102574803614066
0.36,0.07126668012846095
0.37,0.07149272422916482
0.38,0.07170522119999619
0.39,0.07190535529381525
0.4,0.07209417645379075
0.41,0.0722726187320156
0.42,0.07244151606563426
0.43,0.0726016152175509
0.44,0.07275358697911877
0.45,0.07289803548817136
0.46,0.07303550639437809
0.47,0.07316649383030936
0.48,0.07329144628028778
0.49,0.07341077171254792
0.5,0.07859331505870688
0.51,0.07859339848948382
0.52,0.07859347675723131
0.53,0.07859355021838307
0.54,0.07859361918434167
0.55,0.07859368413354063
0.56,0.07859374560065642
0.57,0.07859380356617693
0.58,0.07859385829975288
0.59,0.07859390956331101
0.6,0.0785939581136028
0.61,0.07859400413643604
0.62,0.07859404819296262
0.63,0.07859409002582002
0.64,0.07859412978595703
0.65,0.0785941676115813
0.66,0.07859420361491747
0.67,0.07859423792781545
0.68,0.07859427065727463
0.69,0.07859430189611644
0.7,0.07859433182682601
0.71,0.07859436044176998
0.72,0.07859438781876332
0.73,0.07859441382932235
0.74,0.07859443875559195
0.75,0.07859446264346293
0.76,0.07859448583129429
0.77,0.07859450810453307
0.78,0.0785945295026506
0.79,0.07859455005033225
0.8,0.07859456982307632
0.81,0.07859458880085385
0.82,0.07859460707594966
0.83,0.07859462468411539
0.84,0.07859464152341956
0.85,0.07859465776615594
0.86,0.0785946734769755
0.87,0.0785946886375176
0.88,0.07859470328395124
0.89,0.07859471744021031
