z,s
0.04,0.0028901381239693387
0.05,0.0052824286412867984
0.06,0.005535129633632544
0.07,0.007935217624473372
0.08,0.015916299574036515
0.09,0.026394273921727978
0.1,0.035204887562098955
0.11,0.0418638333223953
0.12,0.04680159952744965
0.13,0.050648286113755894
0.14,0.05365659786360262
0.15,0.0561385783314561
0.16,0.058200028890586133
0.17,0.059909345842828886
0.18,0.06134387239825169
0.19,0.06256617050733412
0.2,0.06362192634368348
0.21,0.06454429364131736
0.22,0.065357833845113
0.23,0.06608119860216298
0.24,0.06672886969116197
0.25,0.06731230545508632
0.26,0.06784071553125869
0.27,0.06832160123832103
0.28,0.06876114248501548
0.29,0.06916448185893928
0.3,0.0695359361789946
0.31,0.06987915748945622
0.32,0.07019725768197853
0.33,0.07049290558124574
0.34,0.07076840339983967
0.35,0.07102574803614066
0.36,0.07126668012846095
0.37,0.07149272422916482
0.38,0.07170522119999619
0.39,0.07190535529381525
0.4,0.07209417645379075
0.41,0.0722726187320156
0.42,0.07244151606563426
0.43,0.0726016152175509
0.44,0.07275358697911877
0.45,0.07289803548817136
0.46,0.07303550639437809
0.47,0.07316649383030936
0.48,0.07329144628028778
0.49,0.07341077171254792
0.5,0.0735248421948839
0.51,0.07363399762933891
0.52,0.07373854920779274
0.53,0.0738387823709984
0.54,0.0739349594192101
0.55,0.07402732183665015
0.56,0.07411609232368549
0.57,0.07420147650396022
0.58,0.07428366462050572
0.59,0.07436283282978254
0.6,0.0744391447354007
0.61,0.0745127522518277
0.62,0.07458379679368313
0.63,0.07465240991596618
0.64,0.07471871439266507
0.65,0.07478282486520024
0.66,0.0748448485009867
0.67,0.07490488560459979
0.68,0.07496303014775911
0.69,0.07501937026312738
0.7,0.07507398872428689
0.71,0.07512696326194486
0.72,0.07517836702019627
0.73,0.07522826879400979
0.74,0.07527673355463413
0.75,0.0753238225072485
0.76,0.07536959354209816
0.77,0.07541410115070503
0.78,0.07545739694444933
0.79,0.07549952975509655
0.8,0.07554054584574038
0.81,0.07558048901995727
0.82,0.07561940086478904
0.83,0.07565732082488155
0.84,0.07569428629746458
0.85,0.07573033293878012
0.86,0.0757654946114929
0.87,0.07579980349853145
0.88,0.0758332902642189
0.89,0.07586598411536055
