z,s
0.05,0.008854633391058611
0.055,0.007398813133699096
0.06,0.0070726305358296436
0.065,0.008520666648432007
0.07,0.012174448464255246
0.075,0.01793450404808909
0.08,0.02487263753254916
0.085,0.03137627053278238
0.09,0.036369956770211403
0.095,0.039694027910006105
0.1,0.04173945765095771
0.105,0.04296629124699335
0.11,0.04371056795960872
0.115,0.04418357054408877
0.12,0.04449346694790598
0.125,0.044703197158770046
0.13,0.044850493688702364
0.135,0.04496207402739854
0.14,0.0450452181702201
0.145,0.04510782102727884
0.15,0.04515666359811409
0.155,0.04519583930561061
0.16,0.045227739368616494
0.165,0.04525393778101508
0.17,0.045275594328709076
0.175,0.04529360624428551
0.18,0.04530867703412976
0.185,0.04532136362314418
0.19,0.04533210444179101
0.195,0.045341248508020925
0.2,0.04534907409794574
