z,s
0.05,0.006725023543894063
0.055,0.007843698282497839
0.06,0.008806668932884254
0.065,0.010015240121429257
0.07,0.01147474820159783
0.075,0.014332412572565364
0.08,0.018014183797732602
0.085,0.022143568477752746
0.09,0.02692358584645771
0.095,0.03161130908617446
0.1,0.03620244104539355
0.105,0.04052536807866751
0.11,0.04559110210660788
0.115,0.05146483470976955
0.12,0.05805981486891231
0.125,0.06407198577422972
0.13,0.06861516949518856
0.135,0.07035104972357893
0.14,0.06902488685532117
0.145,0.0652743746735404
0.15,0.06018655607320216
0.155,0.05509996881331214
0.16,0.05096739770793457
0.165,0.04787622984550024
0.17,0.045248371551018796
0.175,0.042467979128996136
0.18,0.039343510426622985
0.185,0.03599119621878619
0.19,0.03237399316130843
0.195,0.028216797779747192
0.2,0.023419261771987762
