z,s
0.05,0.006643535505801382
0.055,0.007555002951311049
0.06,0.008724755961745547
0.065,0.009884812603844065
0.07,0.011825727815463052
0.075,0.014515257835599694
0.08,0.01811856346387317
0.085,0.022764357096709372
0.09,0.028078708477368583
0.095,0.03347452781089585
0.1,0.038399281623598965
0.105,0.042708346831821925
0.11,0.045540288313582165
0.115,0.050983247477054364
0.12,0.06125133218311785
0.125,0.07066327602113366
0.13,0.07669980465513938
0.135,0.07831288720121826
0.14,0.07582757243753167
0.145,0.0706947396151131
0.15,0.06459796872413268
0.155,0.05865254764809151
0.16,0.05333546944785483
0.165,0.048803774265354205
0.17,0.04505564216805834
0.175,0.04190180064197173
0.18,0.0389567000621321
0.185,0.03574940852601453
0.19,0.03190109487251267
0.195,0.02729140470998334
0.2,0.022150329761387054
