z,s
0.05,0.008518793006028853
0.055,0.0070372766040264585
0.06,0.008631679997467726
0.065,0.010318202885487453
0.07,0.011889080514192822
0.075,0.014201593087764848
0.08,0.017497711546604046
0.085,0.022165166836745798
0.09,0.02768960357667456
0.095,0.032304101013665855
0.1,0.036729136697504924
0.105,0.04118899454437068
0.11,0.04514580784171706
0.115,0.05071680679986495
0.12,0.05658933809591006
0.125,0.06202672312989408
0.13,0.066670167169167
0.135,0.06913881609695895
0.14,0.06884235355434046
0.145,0.06620989774116326
0.15,0.06196309947241287
0.155,0.05681072740485805
0.16,0.0514857224670997
0.165,0.04674220949271317
0.17,0.04312207956433821
0.175,0.04063231394343928
0.18,0.03860525039032245
0.185,0.03607506840010983
0.19,0.032427658389187215
0.195,0.027707521246296614
0.2,0.02246536646302799
