z,s
0.05,0.00452937478419282
0.055,0.0026994100855916555
0.06,0.001303201392273879
0.065,0.0002497749037506782
0.07,0.0003060326394686826
0.075,0.0003085538462805842
0.08,0.0006324013963671495
0.085,0.0013834223635167777
0.09,0.002466575231604166
0.095,0.0039741107172672745
0.1,0.006092873525836106
0.105,0.009119115276194063
0.11,0.013350919289262301
0.115,0.018910987435389066
0.12,0.025508016885862655
0.125,0.032094231100267046
0.13,0.0372010879719504
0.135,0.03949134371939545
0.14,0.038342804946181704
0.145,0.03413644668264476
0.15,0.028061951216667425
0.155,0.021552185079428236
0.16,0.015718005377581886
0.165,0.011107939937339705
0.17,0.007773796181347519
0.175,0.005484100651237928
0.18,0.003940055335926318
0.185,0.0028936631509935873
0.19,0.002172417704783911
0.195,0.001664535150009378
0.2,0.0012989568064777272
