z,s
0.05,0.004556064459774851
0.055,0.00269397873524102
0.06,0.0013098971529219622
0.065,0.0002565263060436661
0.07,0.00031460206134641914
0.075,0.0003260484884995061
0.08,0.0006467224937161075
0.085,0.00139062221450522
0.09,0.002472269217034193
0.095,0.003979242181834798
0.1,0.006091642299107374
0.105,0.0091208178637039
0.11,0.013360779638154966
0.115,0.018939511449818907
0.12,0.02555444666519822
0.125,0.03213966611524156
0.13,0.0372335830780415
0.135,0.03951549319555174
0.14,0.038369286053075054
0.145,0.03417010900033878
0.15,0.028095653712669887
0.155,0.021582091449943643
0.16,0.015743999970646162
0.165,0.011128306879878853
0.17,0.007788052658496623
0.175,0.005493485293446365
0.18,0.003946137466380495
0.185,0.0028976490346424564
0.19,0.0021750913863551637
0.195,0.0016663784557209634
0.2,0.0013002628909679459
